POS,Player,Ipl Teams ,Innings ,Runs,High Score,Average,Balls Faced,Strike Rate,100,50,4s,6s,Boundary,run by 4,run score by 6,total run by boundary,runs without boundaries,Team,Total runs
1,Jos Buttler,Rajasthan Royals,17,863,116,57.53,579,149.05,4,4,83,45,128,332,270,602,261,Rajasthan Royals,2683
2,K L Rahul,Lucknow  Super Giants ,15,616,103,51.33,455,135.38,2,4,45,30,75,180,180,360,256,Chennai Super Kings,2197
3,Quinton De Kock,Lucknow  Super Giants ,15,508,140,36.29,341,148.97,1,3,47,23,70,188,138,326,182,Delhi Capitals,2155
4,Hardik Pandya,Gujarat  Titans ,15,487,87,44.27,371,131.26,0,4,49,12,61,196,72,268,219,Gujarat  Titans ,2479
5,Shubman Gill,Gujarat  Titans ,16,483,96,34.5,365,132.32,0,4,51,11,62,204,66,270,213,Kolkata Knight Riders,2097
6,David Miller,Gujarat  Titans ,16,481,94,68.71,337,142.72,0,2,32,23,55,128,138,266,215,Lucknow  Super Giants ,2308
7,Faf Du Plessis,Royal Challenger Bangalore,16,468,96,31.2,367,127.52,0,3,49,13,62,196,78,274,194,Mumbai Indian,2003
8,Shikhar Dhawan,Punjab kings ,14,460,88,38.33,375,122.66,0,3,47,12,59,188,72,260,200,Punjab kings ,2116
9,Sanju Samson,Rajasthan Royals,17,458,55,28.63,312,146.79,0,2,43,26,69,172,156,328,130,Royal Challenger Bangalore,2288
10,Deepak Hooda,Lucknow  Super Giants ,14,451,59,32.21,330,136.66,0,4,36,18,54,144,108,252,199,Sunrisers Hyderabad ,2006
11,Liam Livingstone,Punjab kings ,14,437,70,36.42,240,182.08,0,4,29,34,63,116,204,320,117,,
12,David Warner,Delhi Capitals,12,432,92,48,287,150.52,0,5,52,15,67,208,90,298,134,,
13,Abhishek Sharma,Sunrisers Hyderabad ,14,426,75,30.43,320,133.12,0,2,47,13,60,188,78,266,160,,
14,Ishan Kishan,Mumbai Indian,14,418,81,32.15,348,120.11,0,3,45,11,56,180,66,246,172,,
15,Rahul Tripathi,Sunrisers Hyderabad ,14,413,76,37.55,261,158.23,0,3,40,20,60,160,120,280,133,,
16,Shreyas Iyer,Kolkata Knight Riders,14,401,85,30.85,298,134.56,0,3,41,11,52,164,66,230,171,,
17,Tilak Varma,Mumbai Indian,14,397,61,36.09,303,131.02,0,2,29,16,45,116,96,212,185,,
18,Aiden Markram,Sunrisers Hyderabad ,12,381,68,47.63,274,139.05,0,3,25,19,44,100,114,214,167,,
19,Devdutt Padikkal,Rajasthan Royals,17,376,54,22.12,306,122.87,0,1,40,14,54,160,84,244,132,,
20,Ruturaj Gaikwad,Chennai Super Kings,14,368,99,26.29,291,126.46,0,3,33,14,47,132,84,216,152,,
21,Nitish Rana,Kolkata Knight Riders,14,361,57,27.77,251,143.82,0,2,29,22,51,116,132,248,113,,
22,Virat Kohli,Royal Challenger Bangalore,16,341,73,22.73,294,115.98,0,2,32,8,40,128,48,176,165,,
23,Rishabh Pant,Delhi Capitals,13,340,44,30.91,224,151.78,0,0,35,16,51,140,96,236,104,,
24,Andre Russell,Kolkata Knight Riders,12,335,70,37.22,192,174.47,0,1,18,32,50,72,192,264,71,,
25,Rajat Patidar,Royal Challenger Bangalore,7,333,112,55.5,218,152.75,1,2,27,18,45,108,108,216,117,,
26,Dinesh Karthik,Royal Challenger Bangalore,16,330,66,55,180,183.33,0,1,27,22,49,108,132,240,90,,
27,Wriddhiman Saha,Gujarat  Titans ,11,317,68,31.7,259,122.39,0,3,40,7,47,160,42,202,115,,
28,Shimron Hetmyer,Rajasthan Royals,15,314,59,44.86,204,153.92,0,1,21,21,42,84,126,210,104,,
29,Nicholas Pooran,Sunrisers Hyderabad ,13,306,64,38.25,212,144.33,0,2,16,21,37,64,126,190,116,,
30,Suryakumar Yadav,Mumbai Indian,8,303,68,43.29,208,145.67,0,3,23,16,39,92,96,188,115,,
31,Glenn Maxwell,Royal Challenger Bangalore,13,301,55,27.36,178,169.1,0,1,31,15,46,124,90,214,87,,
32,Shivam Dube,Chennai Super Kings,11,289,95,28.9,185,156.21,0,2,22,16,38,88,96,184,105,,
33,Prithvi Shaw,Delhi Capitals,10,283,61,28.3,185,152.97,0,2,37,10,47,148,60,208,75,,
34,Ambati Rayudu,Chennai Super Kings,11,274,78,24.91,224,122.32,0,1,25,15,40,100,90,190,84,,
35,Rohit Sharma,Mumbai Indian,14,268,48,19.14,223,120.17,0,0,28,13,41,112,78,190,78,,
36,Yashasvi Jaiswal,Rajasthan Royals,10,258,68,25.8,194,132.98,0,2,28,10,38,112,60,172,86,,
37,Jonny Bairstow,Punjab kings ,11,253,66,23,175,144.57,0,2,34,9,43,136,54,190,63,,
38,Devon Conway,Chennai Super Kings,7,252,87,42,173,145.66,0,3,22,12,34,88,72,160,92,,
39,Mitchell Marsh,Delhi Capitals,8,251,89,31.38,189,132.8,0,2,19,14,33,76,84,160,91,,
40,Rovman Powell,Delhi Capitals,12,250,67,25,167,149.7,0,1,10,22,32,40,132,172,78,,
41,Moeen Ali,Chennai Super Kings,10,244,93,24.4,177,137.85,0,1,24,11,35,96,66,162,82,,
42,Jitesh Sharma,Punjab kings ,10,234,44,29.25,143,163.63,0,0,22,12,34,88,72,160,74,,
43,MS Dhoni,Chennai Super Kings,13,232,50,33.14,188,123.4,0,1,21,10,31,84,60,144,88,,
44,Robin Uthappa,Chennai Super Kings,11,230,88,20.91,171,134.5,0,2,19,14,33,76,84,160,70,,
45,Shahbaz Ahmed,Royal Challenger Bangalore,11,219,45,27.38,181,120.99,0,0,14,9,23,56,54,110,109,,
46,Rahul Tewatia,Gujarat  Titans ,12,217,43,31,147,147.61,0,0,22,9,31,88,54,142,75,,
47,Kane Williamson,Sunrisers Hyderabad ,13,216,57,19.64,231,93.5,0,1,16,8,24,64,48,112,104,,
48,Bhanuka Rajapaksa,Punjab kings ,9,206,43,22.89,129,159.68,0,0,16,13,29,64,78,142,64,,
49,Mayank Agarwal,Punjab kings ,12,196,52,16.33,160,122.5,0,1,23,6,29,92,36,128,68,,
50,Ravichandran Ashwin,Rajasthan Royals,12,191,50,27.29,135,141.48,0,1,14,9,23,56,54,110,81,,
51,Tim David,Mumbai Indian,8,186,46,37.2,86,216.27,0,0,12,16,28,48,96,144,42,,
52,Riyan Parag,Rajasthan Royals,14,183,56,16.64,132,138.63,0,1,11,10,21,44,60,104,79,,
53,Krunal Pandya,Lucknow  Super Giants ,13,183,42,20.33,145,126.2,0,0,16,4,20,64,24,88,95,,
54,Axar Patel,Delhi Capitals,10,182,42,45.5,120,151.66,0,0,12,10,22,48,60,108,74,,
55,Venkatesh Iyer,Kolkata Knight Riders,12,182,50,16.55,169,107.69,0,1,17,7,24,68,42,110,72,,
56,Rinku Singh,Kolkata Knight Riders,7,174,42,34.8,117,148.71,0,0,17,7,24,68,42,110,64,,
57,Sam Billings,Kolkata Knight Riders,8,169,36,24.14,138,122.46,0,0,9,10,19,36,60,96,73,,
58,Dewald Brevis,Mumbai Indian,7,161,49,23,113,142.47,0,0,14,11,25,56,66,122,39,,
59,Ayush Badoni,Lucknow  Super Giants ,11,161,54,20.13,130,123.84,0,1,11,7,18,44,42,86,75,,
60,Lalit Yadav,Delhi Capitals,8,161,48,23,146,110.27,0,0,11,7,18,44,42,86,75,,
61,Matthew Wade,Gujarat  Titans ,10,157,35,15.7,138,113.76,0,0,23,2,25,92,12,104,53,,
62,Marcus Stoinis,Lucknow  Super Giants ,10,156,38,19.5,106,147.16,0,0,7,13,20,28,78,106,50,,
63,Sai Sudharsan,Gujarat  Titans ,5,145,65,36.25,114,127.19,0,1,14,3,17,56,18,74,71,,
64,Kieron Pollard,Mumbai Indian,11,144,25,14.4,134,107.46,0,0,6,9,15,24,54,78,66,,
65,Ajinkya Rahane,Kolkata Knight Riders,7,133,44,19,128,103.9,0,0,14,4,18,56,24,80,53,,
66,Anuj Rawat,Royal Challenger Bangalore,8,129,66,16.13,118,109.32,0,1,10,7,17,40,42,82,47,,
67,Shardul Thakur,Delhi Capitals,10,120,29,15,87,137.93,0,0,7,7,14,28,42,70,50,,
68,Shahrukh Khan,Punjab kings ,8,117,26,16.71,108,108.33,0,0,4,9,13,16,54,70,47,,
69,Ravindra Jadeja,Chennai Super Kings,10,116,26,19.33,98,118.36,0,0,6,5,11,24,30,54,62,,
70,Abhinav Manohar,Chennai Super Kings,7,108,43,18,75,144,0,0,14,3,17,56,18,74,34,,
71,Washington Sundar,Gujarat  Titans ,7,101,40,14.43,69,146.37,0,0,9,3,12,36,18,54,47,,
72,Rashid Khan,Sunrisers Hyderabad ,8,91,40,22.75,44,206.81,0,0,3,9,12,12,54,66,25,,
73,Sarfaraz Khan,Gujarat  Titans ,5,91,36,30.33,67,135.82,0,0,9,2,11,36,12,48,43,,
74,Manish Pandey,Delhi Capitals,6,88,38,14.67,80,110,0,0,9,2,11,36,12,48,40,,
75,Mahipal Lomror,Royal Challenger Bangalore,5,86,42,17.2,57,150.87,0,0,7,4,11,28,24,52,34,,
76,Aaron Finch,Kolkata Knight Riders,5,86,58,17.2,61,140.98,0,1,10,3,13,40,18,58,28,,
77,Rahul Chahar,Punjab kings ,8,77,25,12.83,68,113.23,0,0,7,4,11,28,24,52,25,,
78,Evin Lewis,Lucknow  Super Giants ,5,73,55,24.33,56,130.35,0,1,8,3,11,32,18,50,23,,
79,Sunil Narine,Kolkata Knight Riders,10,71,22,8.88,40,177.5,0,0,6,6,12,24,36,60,11,,
80,Shashank Singh,Sunrisers Hyderabad ,5,69,25,17.25,47,146.8,0,0,5,4,9,20,24,44,25,,
81,Suyash S Prabhudessai,Kolkata Knight Riders,5,67,34,13.4,59,113.55,0,0,7,2,9,28,12,40,27,,
82,Pat Cummins,Kolkata Knight Riders,5,63,56,15.75,24,262.5,0,1,5,6,11,20,36,56,7,,
83,Jaydev Unadkat,Lucknow  Super Giants ,5,59,19,19.67,37,159.45,0,0,4,3,7,16,18,34,25,,
84,Romario Shepherd,Sunrisers Hyderabad ,3,58,26,29,41,141.46,0,0,2,5,7,8,30,38,20,,
85,Jason Holder,Lucknow  Super Giants ,8,58,16,9.67,44,131.81,0,0,2,6,8,8,36,44,14,,
86,Umesh Yadav,Kolkata Knight Riders,7,55,21,13.75,40,137.5,0,0,4,4,8,16,24,40,15,,
87,Odean Smith,Punjab kings ,6,51,25,17,44,115.9,0,0,1,5,6,4,30,34,17,,
88,Kagiso Rabada,Punjab kings ,8,48,25,9.6,43,111.62,0,0,5,2,7,20,12,32,16,,
89,Kuldeep Yadav,Delhi Capitals,7,48,16,48,52,92.3,0,0,3,2,5,12,12,24,24,,
